id,occ_date,occ_year,premises_type,bike_cost,cost_group
8,2014-01-01,2014,Apartment,1019,1000<1500
12,2014-01-03,2014,Other,560,500<1000
13,2014-01-04,2014,Apartment,200,<500
15,2014-01-04,2014,House,900,500<1000
19,2014-01-05,2014,Commercial,1800,1500<2000
20,2014-01-08,2014,Apartment,479,<500
22,2014-01-07,2014,Other,150,<500
23,2014-01-10,2014,Outside,400,<500
24,2014-01-10,2014,Outside,800,500<1000
25,2014-01-11,2014,House,200,<500
27,2014-01-11,2014,House,200,<500
28,2014-01-11,2014,Apartment,900,500<1000
29,2014-01-13,2014,Other,1100,1000<1500
30,2014-01-08,2014,Apartment,2399,2000<
31,2014-01-14,2014,Commercial,2000,2000<
32,2014-01-14,2014,Educational,600,500<1000
33,2014-01-15,2014,Outside,750,500<1000
34,2014-01-12,2014,Apartment,300,<500
35,2014-01-18,2014,House,120,<500
36,2014-01-18,2014,House,150,<500
37,2014-01-09,2014,Other,350,<500
38,2014-01-09,2014,House,2000,2000<
39,2014-01-17,2014,Outside,100,<500
41,2014-01-22,2014,Commercial,3000,2000<
43,2014-01-05,2014,Outside,1800,1500<2000
44,2014-01-25,2014,Commercial,10000,2000<
46,2014-01-27,2014,Outside,1600,1500<2000
47,2014-01-28,2014,Outside,1000,1000<1500
48,2014-01-27,2014,Outside,1100,1000<1500
50,2014-01-29,2014,Commercial,1800,1500<2000
52,2014-02-02,2014,Apartment,200,<500
53,2014-02-01,2014,Outside,850,500<1000
54,2014-02-03,2014,Other,1400,1000<1500
55,2014-01-27,2014,House,400,<500
56,2014-02-04,2014,Outside,400,<500
57,2014-01-31,2014,Other,500,500<1000
58,2014-02-04,2014,Apartment,2000,2000<
60,2014-01-25,2014,Commercial,9423,2000<
61,2014-02-07,2014,Commercial,2500,2000<
62,2014-02-07,2014,Commercial,4000,2000<
63,2014-01-01,2014,Apartment,1750,1500<2000
64,2014-02-11,2014,Commercial,3300,2000<
65,2014-02-12,2014,Outside,1700,1500<2000
66,2014-02-15,2014,Outside,200,<500
67,2014-02-16,2014,House,500,500<1000
68,2014-01-15,2014,Other,700,500<1000
69,2014-02-16,2014,Outside,1500,1500<2000
71,2014-02-14,2014,Outside,100,<500
72,2014-02-16,2014,Outside,150,<500
75,2014-02-24,2014,House,2000,2000<
76,2014-01-18,2014,Apartment,1400,1000<1500
79,2014-02-25,2014,Outside,700,500<1000
81,2014-02-23,2014,Other,1000,1000<1500
82,2014-02-23,2014,Other,300,<500
83,2014-02-23,2014,Other,1850,1500<2000
84,2014-03-03,2014,Other,1500,1500<2000
85,2014-03-03,2014,Outside,80,<500
86,2014-03-04,2014,Commercial,800,500<1000
87,2014-03-05,2014,Outside,550,500<1000
88,2014-03-05,2014,Outside,350,<500
89,2014-03-05,2014,Apartment,2000,2000<
90,2014-03-06,2014,Outside,2000,2000<
91,2014-03-07,2014,House,400,<500
92,2014-03-05,2014,Outside,500,500<1000
93,2014-03-08,2014,Other,2500,2000<
94,2014-03-08,2014,Outside,500,500<1000
95,2014-02-23,2014,House,500,500<1000
96,2014-03-08,2014,Outside,1600,1500<2000
97,2014-03-07,2014,Outside,700,500<1000
98,2014-03-08,2014,Outside,2000,2000<
99,2014-03-10,2014,Apartment,200,<500
101,2014-03-10,2014,Other,300,<500
102,2014-03-10,2014,Other,400,<500
103,2014-03-10,2014,Commercial,500,500<1000
104,2014-01-15,2014,Transit,400,<500
105,2014-03-08,2014,Outside,500,500<1000
106,2014-03-12,2014,Other,250,<500
107,2014-03-11,2014,Commercial,1000,1000<1500
108,2014-03-16,2014,Outside,500,500<1000
109,2014-03-16,2014,House,300,<500
111,2014-03-19,2014,Educational,300,<500
112,2014-03-20,2014,Outside,895,500<1000
113,2014-03-10,2014,House,200,<500
114,2014-03-19,2014,House,300,<500
115,2014-03-14,2014,Outside,1000,1000<1500
116,2014-03-19,2014,Outside,100,<500
117,2014-03-19,2014,House,400,<500
118,2014-03-21,2014,Other,200,<500
119,2014-03-23,2014,Outside,932.25,500<1000
120,2014-03-23,2014,House,500,500<1000
121,2014-03-24,2014,Outside,1800,1500<2000
122,2014-03-25,2014,Other,800,500<1000
123,2014-01-11,2014,Commercial,2500,2000<
125,2014-03-27,2014,Outside,2000,2000<
126,2014-03-27,2014,Outside,3000,2000<
128,2014-03-28,2014,Outside,800,500<1000
129,2014-03-29,2014,Outside,800,500<1000
130,2014-03-18,2014,House,2000,2000<
131,2014-03-30,2014,House,1050,1000<1500
132,2014-03-25,2014,Outside,1025,1000<1500
133,2014-03-30,2014,Outside,350,<500
135,2014-03-31,2014,Outside,200,<500
136,2014-03-30,2014,Commercial,200,<500
137,2014-03-25,2014,Other,2500,2000<
139,2014-04-01,2014,Other,1400,1000<1500
140,2014-01-31,2014,Outside,1815,1500<2000
141,2014-04-01,2014,Outside,1300,1000<1500
142,2014-03-31,2014,Transit,600,500<1000
143,2014-04-03,2014,House,1300,1000<1500
144,2014-04-02,2014,Apartment,4000,2000<
145,2014-04-03,2014,House,650,500<1000
146,2014-04-03,2014,Educational,1300,1000<1500
147,2014-01-27,2014,Apartment,2484.87,2000<
153,2014-04-02,2014,Other,600,500<1000
154,2014-04-04,2014,House,1000,1000<1500
155,2014-04-04,2014,Apartment,500,500<1000
156,2014-04-04,2014,House,1300,1000<1500
157,2014-04-05,2014,House,1000,1000<1500
158,2014-04-05,2014,Outside,100,<500
159,2014-04-06,2014,Outside,700,500<1000
161,2014-04-08,2014,Outside,1100,1000<1500
162,2014-03-06,2014,Outside,70,<500
